tiempo_s,posicion_m,velocidad_m_s,aceleracion_m_s2
0.0,1.105,0.0,0.0
0.05,1.105,0.0,0.0
0.1,1.105,0.0,0.0
0.15,1.105,0.0,0.0
0.2,1.105,0.0,0.0
0.25,1.105,0.0,0.0
0.3,1.105,0.0,0.0
0.35,1.105,0.0,0.0
0.4,1.105,0.0,0.0
0.45,1.105,0.0,0.0
0.5,1.105,0.0,0.0
0.55,1.105,0.0,0.0
0.6,1.105,0.0,0.0
0.65,1.105,0.0,0.0
0.7,1.105,0.0,0.0
0.75,1.105,0.0,0.0
0.8,1.105,0.0,0.0
0.85,1.105,0.0,0.0
0.9,1.105,0.0,0.0
0.95,1.105,0.0,0.0
1.0,1.105,0.0,0.0
1.05,1.105,0.0,0.0
1.1,1.105,0.0,0.0
1.15,1.105,0.0,0.0
1.2,1.105,0.0,0.0
1.25,1.105,0.0,0.003
1.3,1.105,0.0,0.019
1.35,1.105,0.001,0.074
1.4,1.105,0.004,0.21
1.45,1.105,0.017,0.432
1.5,1.106,0.046,0.672
1.55,1.109,0.089,0.826
1.6,1.115,0.132,0.9
1.65,1.122,0.18,0.933
1.7,1.133,0.228,0.918
1.75,1.145,0.272,0.9
1.8,1.16,0.318,0.884
1.85,1.177,0.36,0.874
1.9,1.196,0.403,0.909
1.95,1.217,0.451,0.947
2.0,1.241,0.499,0.947
2.05,1.267,0.547,0.91
2.1,1.296,0.59,0.883
2.15,1.326,0.633,0.902
2.2,1.359,0.68,0.93
2.25,1.394,0.728,0.925
2.3,1.432,0.772,0.919
2.35,1.471,0.819,0.911
2.4,1.514,0.866,0.872
2.45,1.558,0.904,0.87
2.5,1.604,0.951,0.899
2.55,1.653,0.997,0.881
2.6,1.704,1.039,0.851
2.65,1.757,1.081,0.853
2.7,1.812,1.123,0.891
2.75,1.869,1.17,0.916
2.8,1.929,1.218,0.825
2.85,1.991,1.262,0.383
2.9,2.055,1.29,-0.94
2.95,2.122,1.238,-3.591
3.0,2.19,0.957,-6.473
3.05,2.229,0.47,-6.908
3.1,2.229,0.124,-4.525
3.15,2.229,0.022,-1.937
3.2,2.229,0.0,-0.577
3.25,2.229,0.0,-0.105
3.3,2.229,0.0,-0.012
3.35,2.229,0.0,0.0
3.4,2.229,0.0,0.0
3.45,2.229,0.0,0.0
3.5,2.229,0.0,0.0
3.55,2.229,0.0,0.0
3.6,2.229,0.0,0.0
3.65,2.229,0.0,0.0
3.7,2.229,0.0,0.0
3.75,2.229,0.0,0.0
3.8,2.229,0.0,0.0
3.85,2.229,0.0,0.0
3.9,2.229,0.0,0.0
3.95,2.229,0.0,0.0
4.0,2.229,0.0,0.0
4.05,2.229,0.0,0.0
4.1,2.229,0.0,0.0
4.15,2.229,0.0,0.0
4.2,2.229,0.0,0.0
4.25,2.229,0.0,0.0
4.3,2.229,0.0,0.0
4.35,2.229,0.0,0.0
4.4,2.229,0.0,0.0
4.45,2.229,0.0,0.0
4.5,2.229,0.0,0.0
4.55,2.229,0.0,0.0
4.6,2.229,0.0,0.0
4.65,2.229,0.0,0.0
4.7,2.229,0.0,0.0
4.75,2.229,0.0,0.0
4.8,2.229,0.0,0.0
4.85,2.229,0.0,0.0
4.9,2.229,0.0,0.0
4.95,2.229,0.0,0.0
5.0,2.229,0.0,0.0
